Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Australia,10.0,0.99891001,0.968850017,0.940949976,1.262030005,4.0,,165.6936035,161.9007568,169.29345700000002,5.0,,,,7.0,2247875.0,,,100.1605911,100.104599,100.2137222,,,,,,,,29.69701958,,,,,,,,,,9614.0,5119.0,0.46845001,4495.0,0.390359998,0.4283800129999999,12.0,,,,6.0,2379962.0,,,,,,,,132.7728882,128.6360016,136.70800780000002,,,,52.75899124,,,,,,,107.8080521,124.43975829999998,91.83286285,,,,,,123.0,133.0,444.0,646.0,0.4,0.4,1.5,2.0,46.50039959,13253656.0,5.320000172,5.28000021,5.3000001910000005,19.19061704,65.15290773
Austria,13.0,0.994880021,0.97408998,0.964039981,1.16297996,6.0,,103.2988434,102.7830124,103.7833405,6.0,99.81427002,99.81181335,99.81300354,4.0,339021.8438,,,103.3168488,103.0434265,103.5742188,,,,,,,,6.258540153999999,,,,,,,,,,143.0,,,,,0.043699998,10.0,98.4609375,96.51756287,97.46354675,8.0,687386.125,,,,,,,,99.95783997,98.07798767,101.7359924,,,,10.54150009,,,,,,,86.68834686,94.63156128,79.20825195,,,,,,28.0,38.0,115.0,174.0,0.3,0.4,1.3,1.6,46.42890907,4601213.0,4.650000095,5.019999981000001,4.849999905,14.29794763,66.70048591
Azerbaijan,10.0,1.005460024,1.002619982,1.001180053,1.127429962,5.0,18.16978,39.71232986,39.49166107,39.90364838,6.0,100.6412125,99.85738373,100.2199478,4.0,635153.0,46.3142,15.42982,99.7220993,100.0146179,99.47112274,94.871,94.83458,94.85142,92.42467,7.480810000000001,6.6897,7.0561,0.701409996,96.76104736,94.87908936,95.7502594,0.1251,0.1308,0.12816,41164.0,92.93315125,92.61575,24803.0,12040.0,4.093530178,12763.0,3.723160028,3.894190073,10.0,83.50449371,85.77120972,84.71309662,8.0,945226.0,46.73612,792449.0,46.08246,6.991110000000001,7.609839999999999,152777.0,50.12666,94.48007965,94.53943634,94.42806244,88.53256,88.15416,88.86419000000001,12.89056969,,,,124211.0,92359.0,74.35653687,27.70849991,29.69345093,25.90973091,,,,7.435460091,2.455430031,262.0,192.0,344.0,517.0,1.6,1.5,2.6,3.3,48.7601176,5091128.0,5.769999981000001,4.079999924,4.900000095,23.36956986,70.43524739
"Bahamas, The",12.0,0.995069981,1.02639997,1.0637500290000002,,2.0,20.65517,34.5211792,35.91521072,33.20901871,5.0,74.85179138,78.07402802,76.45863342,6.0,29504.0,49.56616,19.44891,81.36116791,81.15878296,81.56105804,83.83912,82.75255,83.28551,74.22717,7.15263,9.87231,8.52427,22.66810989,,,,2.51641,3.93145,3.23007,1517.0,93.01251984,74.38987,8533.0,4082.0,22.65386963,4451.0,24.39706039,23.53087044,11.0,,,,6.0,26884.0,51.74453,26884.0,51.74453,12.61874,12.48097,,,69.47309113,71.6102066,67.31877136,62.4958,65.04684,59.924240000000005,28.35515976,,,,2154.0,1589.0,73.76972961,,,,,,,,,7.0,9.0,32.0,86.0,1.1,1.4,4.9,12.7,48.1769935,226110.0,9.949999809,10.05000019,10.0,22.48487567,70.25752197
Bahrain,9.0,0.987869978,1.021550059,1.061349988,1.45472002,5.0,14.40441,53.66259003,54.6032486,52.79138947,6.0,99.27617645,96.51583099,97.87412262,6.0,113878.0,49.38092,11.92315,99.36305237,98.75315857,99.96531677,89.51348,88.81981999999999,89.1598,96.71489,2.9395,2.39747,2.66513,36.91143036,97.36103821,96.21922302,96.77729034,0.35806,0.2993699999999999,0.32823,9551.0,74.13883209,98.10484,1188.0,1155.0,2.028310061,33.0,0.057229999,1.036579967,12.0,100.33336640000002,89.12882233,94.31429291,6.0,99026.0,48.80536,92483.0,51.68301,11.31042,10.23948,6543.0,8.13083,98.59906769,101.6959915,95.81735229,90.19346,93.78209,86.97008000000001,25.55489922,,,,9671.0,5657.0,58.49446869,50.48189926,67.84062958,36.99245071,,,,,,20.0,15.0,33.0,63.0,1.0,0.9,2.1,2.8,20.49305163,927124.0,4.679999828,0.689999998,1.50999999,19.25431012,78.319356
Bangladesh,5.0,1.074710011,1.115910053,1.162089944,0.707140028,3.0,,40.81816101,41.63365936,40.03688049,6.0,,,,5.0,17338100.0,50.7497,30.05459,116.46633909999998,120.7517471,112.3574524,109.285,101.94605,105.53788,,,,,23.90352058,,,,3.77704,4.516719999999999,4.1413400000000005,576887.0,61.30004883,,,,,,,,11.0,,,87.96587372,7.0,15869820.0,52.63983,15112531.0,53.89255,,35.095240000000004,757289.0,27.64044,72.69059753,78.27072906,67.35347748,66.54968000000001,72.27917,61.06971,,,,,452193.0,101344.0,22.41167068,20.5650692,16.98328972,24.01696014,,,,,,10271.0,9629.0,20585.0,16113.0,3.5,3.1,6.5,5.3,30.36462425,68835576.0,6.650000095,3.25999999,4.289999962,27.70602248,67.13558688
Barbados,11.0,0.963280022,0.999639988,1.039199948,,5.0,15.64706,86.82878876,87.75306702,85.93448639,5.0,89.92072296,87.61592865,88.74687195,6.0,20218.0,48.32328,13.9917,99.35134888,97.46607971,101.1814804,99.10657,97.57914,98.33228,96.69287,1.39202,2.38323,1.90424,13.53250027,,,,,,,1445.0,77.37023926,98.38821,328.0,248.0,2.474060059,80.0,0.774739981,1.611789942,11.0,,,,5.0,19571.0,49.593790000000006,19571.0,49.593790000000006,20.46618,17.938589999999998,,,103.7039032,105.7528915,101.7639771,93.63078,96.81848,90.61275,6.693580151,,,,1091.0,720.0,65.99449921,,,,,,,,,2.0,5.0,9.0,14.0,0.6,1.2,2.4,3.7,49.35138511,155331.0,10.21000004,9.800000191,10.0,17.34294815,66.85435789
Belarus,9.0,0.997730017,0.990570009,0.98585999,1.1568599940000002,4.0,7.91637,98.85489655,96.99082184,100.6084213,6.0,104.6449509,104.5922775,104.6179123,4.0,427752.0,48.51596,19.23259,100.5002136,100.3826065,100.6112823,94.20139,94.02399,94.11003,94.92861,5.55732,5.5311900000000005,5.54387,0.107539997,,,,0.0424,0.04359,0.0430199999999999,22241.0,99.48294067,95.20914,5544.0,4346.0,2.102190018,1198.0,0.547320008,1.302559972,10.0,97.8052597,97.87464142,97.84088898,7.0,649357.0,48.29377,566765.0,49.88064,8.41915,8.56276,82592.0,37.40435,102.4395294,101.6907425,103.1489182,95.63948,96.18075,95.12669,0.460920006,,,,75835.0,60732.0,80.08438873,87.42909241,95.0921402,80.17623901,,,,,,70.0,64.0,135.0,256.0,0.6,0.7,1.6,2.6,49.03947986,5087556.0,3.549999952,5.920000076,4.760000229,16.86594305,68.28890878
Belgium,12.0,1.004780054,1.07336998,1.123710036,1.236109972,6.0,,114.0356598,114.2253799,113.8558578,6.0,,,,6.0,821236.0,,,103.3507004,103.6031876,103.1104813,,,,,,,,54.22021866,,,,,,,73029.0,82.55077362,,4131.0,1278.0,0.329890013,2853.0,0.700630009,0.519879997,12.0,94.88421631,91.04647827,92.91880798,6.0,1179334.0,,,,,,,,155.9610748,165.28126530000003,147.0855255,,,,58.76477814,,,,132355.0,83756.0,63.28133011,78.90116882,89.73699951,68.54914093,,,,,,53.0,56.0,137.0,248.0,0.4,0.4,1.1,1.8,46.21097452,5089752.0,5.559999942999999,6.28000021,5.949999809,17.05542276,64.1558335
Belize,8.0,0.949199975,0.987559974,1.04132998,1.390429974,2.0,16.440720000000002,47.43125916,48.66667175,46.22642136,5.0,104.1176529,104.8183517,104.4744797,6.0,50764.0,47.73658,19.78332,111.6968765,108.7315521,114.5503235,97.6769,99.27705,98.49042,95.94237,7.2133,9.98455,8.66165,92.78031921,,,,5.12112,8.10373,6.679930000000001,2566.0,74.66874695,99.01278,302.0,,,,,0.6648100020000001,11.0,70.6447525,63.77933121,67.19004822,6.0,40353.0,50.58608,37052.0,50.890640000000005,17.3138,16.72317,3301.0,47.16752,85.37245941,87.11591339,83.65849304,71.149,73.35268,68.98259,,,,,2413.0,1518.0,62.90924072,24.54084015,30.48693085,18.58403015,,,,21.36528969,7.561490059,9.0,12.0,33.0,58.0,1.2,1.5,4.2,7.6,38.70744932,173734.0,9.739999771,4.480000018999999,6.519999981000001,30.27976537,64.98377585
Benin,6.0,0.937330008,,,0.467420012,2.0,23.97108,25.45034027,25.87496948,25.0381794,6.0,,,,6.0,2223966.0,47.67029,39.19712,121.958252,117.9589081,125.8450623,143.51041999999998,150.23122,146.92009,97.21103,7.27722,8.41849,7.87445,25.34745979,32.50016022,35.25281143,33.91593933,14.79478,15.39962,15.11129,56738.0,25.81163025,97.21103,50858.0,,,,,2.788969994,12.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,12.51698971,7.94633007,17.0004406,,,,17.70918083,2.933969975,4222.0,2078.0,2785.0,2389.0,12.9,7.3,11.3,11.3,49.17391085,4679156.0,2.549999952,2.200000048,2.369999886,42.44768239,54.29871231
Bermuda,13.0,,,,1.332749963,1.0,,,,,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,19.02725983,22.90533066,15.28361034,,,,,,,,,,,,,,,,,,,,
Bhutan,,1.001659989,1.058220029,1.129889965,0.992410004,2.0,11.12435,34.44237137,34.63217926,34.2585907,6.0,,,,7.0,91768.0,49.2808,34.66868,100.139679,100.2238312,100.0580368,104.59994,105.68021,105.14864,88.02597,11.08261,11.98436,11.53997,4.232409954,,,,6.058730000000001,8.505930000000001,7.299930000000001,2647.0,39.44087982,90.06546999999999,7456.0,3332.0,7.384260178,4124.0,8.865579605,8.136190414,13.0,90.67455292,74.62294006,82.48500061,6.0,76221.0,52.01454,74638.0,52.37815,12.63093,10.81456,1583.0,34.8705,90.09468079,95.71011353,84.70748901,70.19893,76.54685,64.10904000000001,10.27013969,,,,7048.0,2985.0,42.35243988,15.55451012,15.49213982,15.61054993,,,,22.76646042,6.850840092,32.0,66.0,81.0,105.0,2.5,4.8,5.6,6.8,40.91314043,374904.0,3.059999943,1.7799999709999998,2.299999952,25.77135373,68.22563455
Bolivia,14.0,0.990040004,0.984809995,0.979110003,,2.0,31.00561,74.47583771,75.10006714,73.87864685,6.0,94.22058868,95.43340302,94.83978271,6.0,1379099.0,48.67685,17.798270000000002,98.15091705,97.64904022,98.6317215,98.50134,99.41076,98.96598,92.85137,5.0189,5.71336,5.375319999999999,10.27663994,,,,1.82557,2.67941,2.2644900000000003,77485.0,64.93901825,93.18324,95364.0,47429.0,6.899119853999999,47935.0,6.679759979,6.787089825,12.0,83.79798126,82.42945862,83.09950256,6.0,1233738.0,48.45713,445168.0,47.48791,,18.496270000000003,788570.0,49.00427,89.72425079,88.75827026,90.65175629,76.55438000000001,76.97286,76.15256,11.49911976,,,,66702.0,34681.0,51.99393845,,,,,,,,,554.0,441.0,1065.0,1110.0,2.3,1.9,4.7,5.3,44.18631248,5631099.0,3.609999895,3.450000048,3.519999981,31.07354775,61.73450486
Bosnia and Herzegovina,9.0,,,,,5.0,13.85554,,,,6.0,,,,5.0,159380.0,48.53871,16.92651,,,,,,,,3.5948300000000004,4.09173,3.85055,1.607480049,94.40128326,93.54965973,93.96211243,0.0891899999999999,0.09632,0.09286,9416.0,87.01146698,,,,,,,,11.0,,,,8.0,247714.0,49.39487,153157.0,51.45439,8.485510000000001,9.1229,94557.0,46.05899,,,,,,,2.74793005,,,,27153.0,16781.0,61.80163956,,,,,,,,,19.0,24.0,63.0,109.0,0.5,0.7,1.7,2.5,39.2009172,1319663.0,20.29000092,17.18000031,18.39999962,14.76621765,68.76346488
Botswana,,,,,,3.0,,,,,6.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,110.0,172.0,463.0,3.7,2.3,4.0,11.5,48.82859773,1049426.0,20.61000061,14.18000031,17.31999969,34.11294602,61.66317964
Brazil,14.0,,,,,5.0,,,,,6.0,,,,5.0,15951913.0,,,,,,,,,,,,,18.20643997,,,,,,,798957.0,88.49111938,,,,,,,,11.0,,,,7.0,22863908.0,,,,,,,,,,,,,,13.86009979,,,,1380391.0,871717.0,63.15000916,,,,,,,,,2947.0,4368.0,19914.0,27398.0,1.0,1.4,5.9,7.9,43.578201,105542232.0,14.22999954,10.86999989,12.32999992,21.33407191,69.74309026
British Virgin Islands,12.0,0.998189986,1.026430011,1.077039957,1.443459988,5.0,,95.099823,96.28253174,93.97162628,5.0,80.10204315,79.14691925,79.60688019,7.0,2529.0,,,102.5547409,102.4576263,102.6438599,,,,,,,,29.3001194,,,,,,,247.0,94.73683929,,48.0,,,,,1.946470022,12.0,65.61086273,62.00873184,63.77777863,5.0,1731.0,,,,,,,,78.29036713,81.25576782,75.44326019,,,,18.54418945,,,,249.0,167.0,67.06826782,16.25408936,20.94339943,11.65587044,,,,,2.465990067,,,,,,,,,,,,,,,
Brunei Darussalam,9.0,1.008329988,1.01620996,1.023419976,1.356809974,3.0,15.42714,64.79933167,65.13379669,64.48606873,6.0,108.37766270000002,107.6032486,107.9787216,6.0,39472.0,48.56861,9.89521,103.151619,103.5934296,102.7378464,101.04487,100.08611,100.54912,93.14673,3.76611,4.38402,4.08391,41.18869019,93.70810699,92.84429169,93.25530243,0.05216,0.10837,0.08107,3989.0,77.78891754,96.07682,295.0,,,,,0.7702100279999999,12.0,105.8154221,105.8682632,105.8425598,7.0,44079.0,48.99839,38822.0,49.21436,9.56937,8.26843,5257.0,47.40346,93.48278046,94.59944916,92.43451691,82.64549,84.04799999999999,81.32889,15.52439976,,,,5331.0,3641.0,68.29862976,31.21179962,38.42150116,24.71216965,,,,,,9.0,7.0,10.0,19.0,1.3,1.1,1.4,2.7,42.07670159,219839.0,10.06000042,7.710000037999999,8.699999809,23.02646149,72.10039094
Bulgaria,11.0,0.994409978,0.976819992,0.967760026,1.190889955,4.0,,79.35311127,78.97222137,79.71357727,7.0,86.13657379,87.07457733,86.6185379,4.0,262735.0,,,87.44220734,87.19065857,87.68048096,,,,,,,,1.478680015,,,,,,,19225.0,93.25357819,,39977.0,19315.0,13.21506023,20662.0,13.39009953,13.30496025,11.0,,,,8.0,489665.0,,,,,,,,96.82090759,95.18641663,98.35791779,,,,5.1449499130000005,,,,38785.0,30412.0,78.41175842,71.52152252,79.33702087,64.19235229,,,,,,57.0,65.0,140.0,194.0,0.8,0.9,2.3,2.9,46.16881958,3327434.0,4.650000095,5.690000057000001,5.210000038,14.59546532,64.38262025
Burkina Faso,10.0,0.983500004,0.98913002,1.00098002,0.582029998,3.0,17.21239,4.364999771,4.345990181,4.383369923,6.0,68.46311188,62.602211,65.47892761,6.0,3206060.0,48.71518,39.72173,96.09037018,95.27731323,96.8756485,108.13255,113.96378,111.09734,78.64517,16.07574,15.50521,15.78314,20.29640961,62.0553894,50.44929123,55.91910934,5.63368,5.7699,5.70354,80713.0,47.09030914,79.34168000000001,689266.0,353506.0,21.56504059,335760.0,19.78259087,20.65831947,12.0,44.54069138,41.46963882,42.97488022,7.0,1281007.0,49.07022,1252441.0,49.29677,23.11976,23.11995,28566.0,39.137440000000005,40.70972824,40.72999954,40.69021988,31.00148,31.69258,30.336270000000003,39.8791008,,,,55407.0,9424.0,17.00868034,6.501870155,4.764969826000001,8.186739922000001,,,,22.66116905,5.383790016,6860.0,3369.0,2713.0,3651.0,11.5,6.5,6.3,10.1,44.70379261,7234205.0,4.630000114,4.75,4.699999809,44.94808132,52.64493785
